editor_name,base_form,path_website,name_nif
DoorMarker,00000001,markerteleport.nif,markerteleport
TravelMarker,00000002,marker_travel.nif,marker_travel
NorthMarker,00000003,marker_north.nif,marker_north
DivineMarker,00000005,marker_divine.nif,marker_divine
TempleMarker,00000006,marker_temple.nif,marker_temple
MapMarker,00000010,marker_map.nif,marker_map
HorseMarker,00000012,marker_horse.nif,marker_horse
MultiBoundMarker,00000015,,
PlaneMarker,00000017,,
RoomMarker,0000001F,,
PortalMarker,00000020,,
CollisionMarker,00000021,,
COCMarkerHeading,00000032,markercocheading.nif,markercocheading
RadiationMarker,00000033,marker_radiation.nif,marker_radiation
XMarkerHeading,00000034,markerxheading.nif,markerxheading
XMarker,0000003B,markerx.nif,markerx
CellWaterCurrentMarker,00000061,marker_current01.nif,marker_current01
WaterCurrentMarker,00000062,marker_current01.nif,marker_current01
FurnitureMarker01Sit,00000064,furniture/furnituremarkersit.nif,furnituremarkersit
FurnitureMarker02Lay,00000065,furniture/furnituremarkerlay.nif,furnituremarkerlay
FurnitureMarker03Lean,00000066,furniture/furnituremarkerlean.nif,furnituremarkerlean
FurnitureMarker04,00000067,,
FurnitureMarker05,00000068,,
AnimInteractionMarker,000000A0,markerteleport.nif,markerteleport
WaterCurrentZoneMarker,000000C4,,
Farmhouse02,00000846,architecture/farmhouse/farmhouse02.nif,farmhouse02
Farmhouse01,0000084A,architecture/farmhouse/farmhouse01.nif,farmhouse01
FenceWoven01,000008A6,architecture/farmhouse/fencewoven01.nif,fencewoven01
FenceWoven02,000008A7,architecture/farmhouse/fencewoven02.nif,fencewoven02
Stonewall01,0000099B,architecture/farmhouse/stonewall/stonewall01.nif,stonewall01
Stonewall01Ivy,0000099C,architecture/farmhouse/stonewall/stonewall01ivy.nif,stonewall01ivy
Stonewall02,0000099D,architecture/farmhouse/stonewall/stonewall02.nif,stonewall02
StonewallEndL01,0000099E,architecture/farmhouse/stonewall/stonewallendl01.nif,stonewallendl01
StonewallEndL01Ivy,0000099F,architecture/farmhouse/stonewall/stonewallendl01ivy.nif,stonewallendl01ivy
StonewallEndR01,000009A0,architecture/farmhouse/stonewall/stonewallendr01.nif,stonewallendr01
StonewallEndR01Ivy,000009A1,architecture/farmhouse/stonewall/stonewallendr01ivy.nif,stonewallendr01ivy
StonewallLong01,000009A2,architecture/farmhouse/stonewall/stonewalllong01.nif,stonewalllong01
StonewallTerrace01,000009C6,architecture/farmhouse/stonewall/stonewallterrace01.nif,stonewallterrace01
StonewallTerraceLong01,000009CC,architecture/farmhouse/stonewall/stonewallterracelong01.nif,stonewallterracelong01
StonewallTerraceStairs01,000009D0,architecture/farmhouse/stonewall/stonewallterracestairs01.nif,stonewallterracestairs01
StonewallTerraceLong02,00000A6B,architecture/farmhouse/stonewall/stonewallterracelong02.nif,stonewallterracelong02
StonewallTerrace02,00000A6C,architecture/farmhouse/stonewall/stonewallterrace02.nif,stonewallterrace02
StonewallTerraceEndL01,00000A70,architecture/farmhouse/stonewall/stonewallterraceendl01.nif,stonewallterraceendl01
StonewallTerraceRampDown01,00000A71,architecture/farmhouse/stonewall/stonewallterracerampdown01.nif,stonewallterracerampdown01
StonewallTerraceRampUp01,00000A72,architecture/farmhouse/stonewall/stonewallterracerampup01.nif,stonewallterracerampup01
StonewallTerraceEndR01,00000A73,architecture/farmhouse/stonewall/stonewallterraceendr01.nif,stonewallterraceendr01
StonewallTerraceCorner01,00000A74,architecture/farmhouse/stonewall/stonewallterracecorner01.nif,stonewallterracecorner01
LoadScreenDSSerpent01,00000DDC,loadscreenart/loadscreendsserpent01.nif,loadscreendsserpent01
LoadScreenDSShadow01,00000DDD,loadscreenart/loadscreendsshadow01.nif,loadscreendsshadow01
LoadScreenDSSteed01,00000DDE,loadscreenart/loadscreendssteed01.nif,loadscreendssteed01
LoadScreenDSTheif01,00000DDF,loadscreenart/loadscreendstheif01.nif,loadscreendstheif01
LoadScreenDSTower01,00000DE0,loadscreenart/loadscreendstower01.nif,loadscreendstower01
LoadScreenDSWarrior01,00000DE1,loadscreenart/loadscreendswarrior01.nif,loadscreendswarrior01
LoadScreenDSApprentice01,00000DE2,loadscreenart/loadscreendsapprentice01.nif,loadscreendsapprentice01
LoadScreenDSAtronach01,00000DE3,loadscreenart/loadscreendsatronach01.nif,loadscreendsatronach01
LoadScreenDSBoethiah01,00000DE4,loadscreenart/loadscreendsboethiah01.nif,loadscreendsboethiah01
LoadScreenDSLady01,00000DE5,loadscreenart/loadscreendslady01.nif,loadscreendslady01
LoadScreenDSLord01,00000DE6,loadscreenart/loadscreendslord01.nif,loadscreendslord01
LoadScreenDSLover01,00000DE7,loadscreenart/loadscreendslover01.nif,loadscreendslover01
LoadScreenDSMage01,00000DE8,loadscreenart/loadscreendsmage01.nif,loadscreendsmage01
